sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
128.388,-0.00155451,0.000573649,2.69E-05,-0.00157311,0.00055874,2.69E-05
128.392,-0.0015542,0.000572896,2.69E-05,-0.00157929,0.000558724,2.69E-05
128.396,-0.00155442,0.000572949,2.69E-05,-0.00158931,0.000558707,2.68E-05
128.4,-0.00155458,0.000573027,2.69E-05,-0.00160372,0.000558695,2.68E-05
128.404,-0.00155469,0.000573139,2.69E-05,-0.0016231,0.00055869,2.68E-05
128.408,-0.00155476,0.000573277,2.69E-05,-0.00164793,0.000558687,2.67E-05
128.412,-0.0015546,0.00057258,2.69E-05,-0.00168012,0.000558694,2.67E-05
128.416,-0.00155489,0.0005726,2.69E-05,-0.00172135,0.00055872,2.66E-05
128.42,-0.00155533,0.000572393,2.69E-05,-0.00177294,0.00055875,2.65E-05
128.424,-0.00155811,0.000572209,2.69E-05,-0.00183593,0.000558797,2.65E-05
128.428,-0.0015647,0.000572081,2.69E-05,-0.0019112,0.000558843,2.64E-05
128.432,-0.00157657,0.000571951,2.69E-05,-0.00199939,0.00055889,2.63E-05
128.436,-0.00159472,0.00057182,2.69E-05,-0.00210117,0.000558935,2.62E-05
128.44,-0.0016202,0.000571683,2.69E-05,-0.00221682,0.000558974,2.61E-05
128.444,-0.00165357,0.000571563,2.69E-05,-0.00234667,0.000559009,2.60E-05
128.448,-0.00169559,0.000571455,2.69E-05,-0.00249084,0.000559055,2.59E-05
128.452,-0.00174677,0.000571348,2.69E-05,-0.00265099,0.000559112,2.58E-05
128.456,-0.00180782,0.000571242,2.69E-05,-0.00282809,0.000559171,2.56E-05
128.46,-0.00187921,0.000571137,2.68E-05,-0.00302298,0.000559241,2.55E-05
128.464,-0.00196304,0.00057104,2.68E-05,-0.00323618,0.000559322,2.53E-05
128.468,-0.00206077,0.000570967,2.68E-05,-0.00346813,0.0005594,2.52E-05
128.472,-0.00217357,0.000570991,2.67E-05,-0.00371904,0.000559476,2.50E-05
128.476,-0.00230223,0.00057104,2.66E-05,-0.00398899,0.00055954,2.48E-05
128.48,-0.00244725,0.000571114,2.65E-05,-0.0042782,0.000559593,2.46E-05
128.484,-0.00260899,0.000571176,2.64E-05,-0.00458695,0.000559656,2.44E-05
128.488,-0.0027879,0.00057128,2.62E-05,-0.00491519,0.000559707,2.42E-05
128.492,-0.0029843,0.000571395,2.61E-05,-0.00526436,0.000559757,2.39E-05
128.496,-0.00319843,0.000571499,2.59E-05,-0.00563555,0.000559827,2.37E-05
128.5,-0.00343044,0.000571604,2.57E-05,-0.00602937,0.000559881,2.34E-05
128.504,-0.00368193,0.000571705,2.55E-05,-0.00644608,0.000559962,2.32E-05
128.508,-0.00395377,0.00057182,2.53E-05,-0.00688592,0.000560045,2.29E-05
128.512,-0.00424654,0.000571929,2.51E-05,-0.00734899,0.00056011,2.26E-05
128.516,-0.00456066,0.000572047,2.49E-05,-0.00783522,0.00056015,2.23E-05
128.52,-0.00489632,0.000572158,2.46E-05,-0.00834455,0.000560165,2.20E-05
128.524,-0.00525367,0.000572263,2.44E-05,-0.00887692,0.000560202,2.21E-05
128.528,-0.00563299,0.000572383,2.41E-05,-0.00943115,0.000561421,2.28E-05
128.532,-0.00603449,0.000572481,2.38E-05,-0.0100073,0.000565214,2.45E-05
128.536,-0.00645801,0.000572568,2.35E-05,-0.0106046,0.000573472,2.75E-05
128.54,-0.00690341,0.000572656,2.32E-05,-0.011222,0.000588163,3.21E-05
128.544,-0.00737177,0.000572748,2.29E-05,-0.0118591,0.000609989,3.85E-05
128.548,-0.00786397,0.000572829,2.26E-05,-0.0125159,0.000638986,4.71E-05
128.552,-0.00838051,0.000572916,2.22E-05,-0.013191,0.000676512,5.81E-05
128.556,-0.00892152,0.000572988,2.19E-05,-0.0138838,0.000723236,7.18E-05
128.56,-0.00948711,0.000573065,2.15E-05,-0.0145937,0.00078007,8.87E-05
128.564,-0.0100774,0.000573133,2.11E-05,-0.0153183,0.000849831,0.000109237
128.568,-0.0106921,0.000573208,2.08E-05,-0.0160574,0.000932836,0.000133648
128.572,-0.0113313,0.000573264,2.03E-05,-0.0168099,0.00103112,0.000162358
128.576,-0.0119946,0.0005733,1.99E-05,-0.0175746,0.00114671,0.000195677
128.58,-0.0126819,0.000573341,1.95E-05,-0.0183512,0.00128083,0.000233619
128.584,-0.0133942,0.000573363,1.90E-05,-0.0191405,0.00143213,0.000276403
128.588,-0.0141325,0.000573351,1.86E-05,-0.0199418,0.0016015,0.000324259
128.592,-0.0148966,0.000573302,1.82E-05,-0.0207544,0.00178949,0.000377296
128.596,-0.0156862,0.000573457,1.85E-05,-0.0215784,0.00199598,0.000435486
128.6,-0.016501,0.000573867,2.04E-05,-0.0224148,0.00222011,0.000499174
128.604,-0.0173396,0.000575866,2.42E-05,-0.023263,0.00246318,0.000568769
128.608,-0.0182004,0.00058066,3.04E-05,-0.0241203,0.00272691,0.00064448
128.612,-0.0190829,0.000589561,3.93E-05,-0.0249863,0.00301275,0.000726694
128.616,-0.0199852,0.000604418,5.13E-05,-0.0258601,0.00332276,0.000815422
128.62,-0.0209059,0.000626566,6.69E-05,-0.0267425,0.00365619,0.000910606
128.624,-0.021846,0.000656869,8.62E-05,-0.027634,0.00401261,0.00101233
128.628,-0.0228045,0.000696887,0.000109703,-0.0285342,0.00439244,0.00112063
128.632,-0.0237793,0.000749185,0.000138201,-0.0294429,0.00479554,0.00123534
128.636,-0.024768,0.000816097,0.000172268,-0.0303613,0.00522071,0.00135597
128.64,-0.0257685,0.000899933,0.000212496,-0.0312931,0.00566486,0.00148312
128.644,-0.0267792,0.00100216,0.000259421,-0.032235,0.00613066,0.00161707
128.648,-0.0277983,0.00112416,0.000313398,-0.0331853,0.00661951,0.00175806
128.652,-0.0288267,0.00126602,0.000374527,-0.0341432,0.00713287,0.00190625
128.656,-0.0298625,0.0014289,0.00044319,-0.0351088,0.0076714,0.00206176
128.66,-0.0309061,0.0016129,0.000519534,-0.0360816,0.00823531,0.00222421
128.664,-0.0319585,0.00181843,0.000603678,-0.0370635,0.00882317,0.00239371
128.668,-0.0330171,0.0020484,0.000696304,-0.0380537,0.00943541,0.00256928
128.672,-0.0340808,0.0023029,0.000797043,-0.0390512,0.0100715,0.00275014
128.676,-0.0351481,0.00258264,0.000905185,-0.0400602,0.0107283,0.00293508
128.68,-0.036219,0.00288895,0.0010199,-0.0410825,0.0114042,0.00312311
128.684,-0.0372905,0.00322325,0.00114059,-0.0421129,0.0121027,0.00331328
128.688,-0.0383627,0.00358526,0.00126657,-0.043149,0.0128247,0.00350439
128.692,-0.0394372,0.00397348,0.00139731,-0.0441903,0.0135714,0.00369507
128.696,-0.0405126,0.00438853,0.00153201,-0.0452351,0.0143438,0.0038842
128.7,-0.0415912,0.00482817,0.00167,-0.0462824,0.0151432,0.00407043
128.704,-0.0426722,0.00529365,0.00180994,-0.0473353,0.0159663,0.00425243
